f_Hz,SPL_dB
116.1,34.28
134.4,34.10
155.7,34.13
167.6,34.52
180.3,34.65
194.0,35.72
208.8,35.76
224.7,35.74
241.8,35.71
260.2,35.34
280.0,34.99
301.3,36.21
324.3,36.04
349.0,35.77
375.5,35.06
404.1,33.68
434.9,34.07
468.0,34.35
503.6,33.94
541.9,33.26
583.2,32.58
627.6,32.15
675.4,31.72
726.8,32.27
782.1,31.87
841.6,31.18
905.7,30.70
974.7,30.59
1048.9,30.49
1128.7,29.53
1214.6,28.42
1307.1,29.17
1406.6,27.57
1513.7,26.24
1628.9,26.34
1752.9,23.40
1886.3,23.77
2029.9,21.02
2184.4,19.99
2350.7,17.49
2529.7,16.26
2722.3,17.05
2929.5,15.23
3152.5,11.90
3392.5,11.01
3650.7,10.22
3928.6,10.69
4227.7,11.28
4549.6,9.48
4895.9,9.03
5268.6,7.62
5669.7,4.54
6101.3,2.75
6565.7,0.06
7065.5,-0.96
7603.4,0.85
8182.2,-1.23
8805.1,-3.11
9475.4,-6.29
10196.7,-9.41
10972.9,-9.26
11808.2,-10.15
12707.1,-12.89
13674.5,-15.64
14715.4,-17.63
15835.6,-20.49
17041.1,-21.35
18338.4,-23.10
19734.4,-26.20
21236.7,-27.93
22853.3,-27.92
24593.0,-31.98
