f_Hz,SPL_dB
109.7,38.40
118.1,37.99
127.3,38.82
198.9,41.97
214.3,42.55
248.6,42.97
267.8,43.22
288.5,43.47
310.8,43.63
334.9,43.63
360.7,43.59
388.6,42.76
418.6,42.06
451.0,43.09
485.8,42.97
523.3,43.01
563.8,41.81
607.3,41.43
654.3,40.89
704.8,41.72
759.3,41.64
817.9,41.64
881.1,40.39
949.2,40.31
1022.5,40.77
1101.6,40.02
1186.7,38.77
1278.3,38.57
1377.1,38.32
1483.5,35.87
1598.1,37.07
1721.6,34.08
1854.6,34.00
1997.9,31.01
2318.6,27.14
2497.7,26.27
2690.7,26.77
2898.6,24.86
3623.7,20.87
8216.7,11.65
8851.5,11.90
10272.1,4.67
12841.8,1.18
13834.0,-0.31
14902.9,-12.19
17294.7,-14.93
18631.0,-16.01
