f_Hz,SPL_dB
105.9,32.99
113.4,34.17
121.4,34.93
130.0,36.11
139.1,37.12
149.0,38.06
159.5,39.10
170.7,39.86
182.8,41.11
195.7,42.15
209.5,42.85
224.3,43.96
240.1,45.21
257.1,45.83
275.3,47.15
294.7,47.47
315.5,48.54
337.8,49.62
361.6,50.21
387.1,51.11
414.5,51.81
443.7,52.47
475.1,53.26
508.6,53.75
544.5,54.41
583.0,54.86
624.1,55.07
668.2,55.56
715.4,55.69
765.9,55.76
820.0,55.76
877.9,55.62
939.9,55.42
1006.2,55.00
1077.3,54.72
1153.3,54.10
1234.8,53.26
1321.9,52.71
1415.3,51.74
1515.2,51.08
1622.2,49.51
1736.7,48.06
1859.3,46.60
1990.6,46.25
2131.2,46.88
2281.7,47.40
2442.7,48.30
2615.2,48.54
2799.9,48.47
2997.6,48.02
3209.2,47.60
3678.4,42.74
3938.1,41.81
4216.1,41.15
