f_Hz,SPL_dB
107.2,48.19
115.7,47.92
125.0,47.78
135.0,47.57
145.7,47.29
157.4,47.12
170.0,47.01
183.5,46.81
198.2,46.63
214.0,46.53
231.1,46.42
249.5,46.46
269.5,46.67
291.0,46.81
314.2,46.11
339.3,45.21
366.4,44.24
395.7,42.88
427.3,41.94
461.4,41.46
498.2,40.52
538.0,39.41
581.0,38.89
627.4,38.61
677.5,37.71
731.6,36.91
790.0,36.60
853.1,36.67
921.2,36.35
994.7,35.76
1074.2,35.07
1159.9,35.42
1252.6,35.28
1352.6,34.83
1460.6,34.65
1577.2,34.38
1703.1,33.89
1839.1,33.12
1986.0,32.43
2144.6,31.46
2315.8,30.83
2500.8,30.21
2700.4,29.51
2916.1,29.24
3148.9,28.82
3400.4,28.82
3671.9,28.47
3965.1,28.47
4281.7,27.74
4623.6,27.15
4992.8,26.53
5391.5,25.83
5822.0,25.90
6286.9,25.69
6789.0,26.04
