f_Hz,SPL_dB
104.1,62.36
111.1,62.64
118.5,62.85
126.4,63.16
134.9,63.44
143.9,63.75
153.6,63.61
163.8,63.47
174.8,63.33
186.5,63.19
199.0,63.54
212.3,64.79
226.5,66.04
241.7,67.22
257.9,68.40
275.1,69.65
293.5,70.56
313.2,70.28
334.1,70.00
356.5,68.75
380.4,67.08
405.8,65.83
433.0,64.51
462.0,64.24
492.9,64.24
525.9,64.38
561.1,64.44
598.7,64.31
638.7,63.92
681.5,63.40
727.1,63.06
775.8,63.12
827.7,62.50
883.1,61.88
942.2,60.97
1005.3,60.17
1072.6,59.17
1144.4,58.02
1221.0,56.81
1302.7,55.83
1389.9,55.07
1482.9,54.51
1582.2,53.89
1688.1,53.26
1801.1,52.15
1921.6,51.56
2050.3,51.08
2187.5,50.28
2333.9,50.14
2490.1,49.76
2656.8,49.86
2834.7,49.62
3024.4,49.03
3226.8,48.19
3442.8,47.01
3673.3,44.79
3919.2,43.30
4181.5,42.71
4461.4,42.57
4760.0,42.05
5078.6,42.08
5418.6,41.74
5781.3,40.90
6168.3,38.09
6581.2,37.22
7021.7,37.92
7491.7,37.47
7993.1,35.76
8528.2,34.27
9099.0,34.10
