# time = 0.3
# Grid points = 474
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_uvel             4_vvel             5_wvel
  -4.2964683751e-01  -4.3035398821e-01   1.2842860877e+00   5.2265124935e-01   8.9747011619e-01
  -4.2820922883e-01  -4.2893968680e-01   1.3959615065e+00   4.4632916184e-01   9.7986454322e-01
  -4.2662055263e-01  -4.2747877086e-01   1.5037249064e+00   3.5665975086e-01   1.0597737127e+00
  -4.2465535965e-01  -4.2576233440e-01   1.6115238191e+00   2.3910195235e-01   1.1396924305e+00
  -4.2235529297e-01  -4.2354838490e-01   1.7001110322e+00   9.4205657759e-02   1.2044606262e+00
  -4.1999650547e-01  -4.2116220105e-01   1.7466937983e+00  -5.9796374503e-02   1.2362738811e+00
  -4.1765890501e-01  -4.1883080990e-01   1.7474197774e+00  -2.1376419125e-01   1.2319150359e+00
  -4.1526857565e-01  -4.1648700012e-01   1.7023609991e+00  -3.6780031540e-01   1.1913357704e+00
  -4.1289229562e-01  -4.1405015118e-01   1.6145572079e+00  -5.1246145680e-01   1.1175477461e+00
  -4.1082802498e-01  -4.1173444006e-01   1.5070119093e+00  -6.2689997473e-01   1.0298185110e+00
  -4.0914295812e-01  -4.0992160989e-01   1.3989986644e+00  -7.1035069615e-01   9.4353297339e-01
  -4.0766110471e-01  -4.0836430636e-01   1.2915582531e+00  -7.7431053048e-01   8.5921195133e-01
  -4.0630426054e-01  -4.0695790307e-01   1.1842534800e+00  -8.2438094066e-01   7.7641440361e-01
  -4.0503129099e-01  -4.0565061800e-01   1.0766812394e+00  -8.6342174769e-01   6.9483502990e-01
  -4.0381665064e-01  -4.0441196397e-01   9.6976416677e-01  -8.9275977621e-01   6.1520862668e-01
  -4.0264291498e-01  -4.0322133731e-01   8.6185094210e-01  -9.1380213134e-01   5.3638961118e-01
  -4.0149718776e-01  -4.0206449265e-01   7.5494926090e-01  -9.2679724442e-01   4.5994343354e-01
  -4.0036913206e-01  -4.0092988286e-01   6.4781675549e-01  -9.3241186662e-01   3.8507931346e-01
  -3.9925017365e-01  -3.9980838127e-01   5.4005423988e-01  -9.3078216804e-01   3.1169373092e-01
  -3.9813256592e-01  -3.9869196603e-01   4.3270787167e-01  -9.2199248297e-01   2.4068266132e-01
  -3.9700897059e-01  -3.9757316581e-01   3.2557469075e-01  -9.0608772693e-01   1.7209555637e-01
  -3.9587210286e-01  -3.9644477536e-01   2.1861005212e-01  -8.8298573935e-01   1.0613221383e-01
  -3.9471415479e-01  -3.9529943036e-01   1.1073939476e-01  -8.5211922730e-01   4.2463492271e-02
  -3.9352658944e-01  -3.9412887922e-01   4.0068269309e-03  -8.1376320160e-01  -1.7361600143e-02
  -3.9229935578e-01  -3.9292429967e-01  -1.0381817928e-01  -7.6662687368e-01  -7.4148049552e-02
  -3.9102021203e-01  -3.9167441189e-01  -2.1084202974e-01  -7.1084492292e-01  -1.2632926542e-01
  -3.8967357440e-01  -3.9036601216e-01  -3.1830750660e-01  -6.4494971028e-01  -1.7382989203e-01
  -3.8823837956e-01  -3.8898113664e-01  -4.2549542493e-01  -5.6816933855e-01  -2.1539201288e-01
  -3.8668449785e-01  -3.8749562247e-01  -5.3296148289e-01  -4.7843316318e-01  -2.4995529282e-01
  -3.8496549888e-01  -3.8587337324e-01  -6.4024993812e-01  -3.7364576703e-01  -2.7552674530e-01
  -3.8300164122e-01  -3.8405762452e-01  -7.4775463612e-01  -2.4948437106e-01  -2.8932872234e-01
  -3.8073638978e-01  -3.8194565791e-01  -8.5146890011e-01  -1.0491041005e-01  -2.8677342047e-01
  -3.7825158676e-01  -3.7952712166e-01  -9.4024965229e-01   4.8865600570e-02  -2.6509116896e-01
  -3.7555863703e-01  -3.7697605185e-01  -1.0079403552e+00   2.0326315175e-01  -2.2504822370e-01
  -3.7241556961e-01  -3.7414122221e-01  -1.0511196969e+00   3.5801463107e-01  -1.6684820165e-01
  -3.6800369465e-01  -3.7068991700e-01  -1.0512047308e+00   5.1541607372e-01  -8.8063765145e-02
  -3.6293470854e-01  -3.6531747230e-01  -9.7794251045e-01   6.0953984312e-01  -3.3071546906e-02
  -3.5895510079e-01  -3.6055194478e-01  -8.6856972511e-01   6.2142626786e-01  -3.3135354905e-02
  -3.5605732261e-01  -3.5735825680e-01  -7.6091189854e-01   6.0079730012e-01  -6.0585374094e-02
  -3.5362158193e-01  -3.5475638842e-01  -6.5362347919e-01   5.6895981740e-01  -9.9339915170e-02
  -3.5145956050e-01  -3.5248677544e-01  -5.4620939603e-01   5.3211950526e-01  -1.4331806064e-01
  -3.4947916381e-01  -3.5043234557e-01  -4.3906195629e-01   4.9307439643e-01  -1.8895359184e-01
  -3.4762523180e-01  -3.4852598205e-01  -3.3176863233e-01   4.5287385737e-01  -2.3430208144e-01
  -3.4586045660e-01  -3.4672448155e-01  -2.2454864913e-01   4.1207673045e-01  -2.7784258158e-01
  -3.4415676907e-01  -3.4499643165e-01  -1.1726057351e-01   3.7070321999e-01  -3.1860048313e-01
  -3.4249109468e-01  -3.4331710650e-01  -1.0137568248e-02   3.2865305364e-01  -3.5569566803e-01
  -3.4084259044e-01  -3.4166508287e-01   9.7236630232e-02   2.8535963709e-01  -3.8859197450e-01
  -3.3919042134e-01  -3.4002009801e-01   2.0458349615e-01   2.4031736862e-01  -4.1655003151e-01
  -3.3751140463e-01  -3.3836074467e-01   3.1177917254e-01   1.9271613042e-01  -4.3888548863e-01
  -3.3577662994e-01  -3.3666206459e-01   4.1908970590e-01   1.4119124833e-01  -4.5484996365e-01
  -3.3394512817e-01  -3.3489119529e-01   5.2648581255e-01   8.3837966788e-02  -4.6330089489e-01
  -3.3194966633e-01  -3.3299906104e-01   6.3391689369e-01   1.7466222056e-02  -4.6244944287e-01
  -3.2965276480e-01  -3.3090027162e-01   7.4182435677e-01  -6.4756260742e-02  -4.4876841664e-01
  -3.2672617164e-01  -3.2840525799e-01   8.4827313304e-01  -1.7921381836e-01  -4.1344388744e-01
  -3.2334501863e-01  -3.2504708530e-01   9.2155789892e-01  -3.2446294741e-01  -3.5350864699e-01
  -3.2004726083e-01  -3.2164295196e-01   9.3460290753e-01  -4.7800343944e-01  -2.8220782620e-01
  -3.1689870047e-01  -3.1845156969e-01   8.9004970095e-01  -6.3181379590e-01  -2.0990813646e-01
  -3.1395976451e-01  -3.1534583125e-01   8.0032178372e-01  -7.7630861071e-01  -1.4513979432e-01
  -3.1149213188e-01  -3.1257369777e-01   6.9233863934e-01  -8.9424323365e-01  -9.6261350505e-02
  -3.0947395253e-01  -3.1041056598e-01   5.8475191285e-01  -9.8522275125e-01  -6.1827443613e-02
  -3.0768228393e-01  -3.0853733909e-01   4.7721962911e-01  -1.0600454679e+00  -3.6056470206e-02
  -3.0602089593e-01  -3.0682722876e-01   3.6962310932e-01  -1.1229191244e+00  -1.6474468574e-02
  -3.0443609721e-01  -3.0521456310e-01   2.6253439767e-01  -1.1755823755e+00  -1.7725663771e-03
  -3.0289182266e-01  -3.0365763131e-01   1.5520393173e-01  -1.2194028946e+00   9.0542767485e-03
  -3.0135970731e-01  -3.0212601401e-01   4.7825347214e-02  -1.2545642184e+00   1.6594093941e-02
  -2.9981344048e-01  -3.0059340061e-01  -5.9712061032e-02  -1.2808630674e+00   2.1339840489e-02
  -2.9822483380e-01  -2.9903348035e-01  -1.6683828468e-01  -1.2974558115e+00   2.3713700321e-02
  -2.9655861592e-01  -2.9741618725e-01  -2.7427699163e-01  -1.3029919438e+00   2.4178127736e-02
  -2.9476322579e-01  -2.9570104459e-01  -3.8176494842e-01  -1.2946889494e+00   2.3269022561e-02
  -2.9274907281e-01  -2.9382540698e-01  -4.8933490906e-01  -1.2673199700e+00   2.1852406638e-02
  -2.9031152027e-01  -2.9167273863e-01  -5.9751045117e-01  -1.2084278265e+00   2.1823295082e-02
  -2.8724510166e-01  -2.8895030191e-01  -6.9476722958e-01  -1.0957328932e+00   2.8356688855e-02
  -2.8415409201e-01  -2.8553990140e-01  -7.4755615202e-01  -9.4352006401e-01   4.6013063940e-02
  -2.8156420852e-01  -2.8276828261e-01  -7.5489746858e-01  -7.8920020250e-01   7.1928317179e-02
  -2.7925625041e-01  -2.8036013443e-01  -7.3452791530e-01  -6.3491654540e-01   1.0417830727e-01
  -2.7710490256e-01  -2.7815236640e-01  -6.9481213686e-01  -4.8109959246e-01   1.4142710080e-01
  -2.7503737528e-01  -2.7605743873e-01  -6.3976467242e-01  -3.2678434626e-01   1.8289155442e-01
  -2.7300075257e-01  -2.7401731182e-01  -5.7215326864e-01  -1.7313003937e-01   2.2726657267e-01
  -2.7094711867e-01  -2.7198419331e-01  -4.9241828164e-01  -1.8684116751e-02   2.7386655631e-01
  -2.6882277526e-01  -2.6991004403e-01  -4.0123883192e-01   1.3519184241e-01   3.2086872603e-01
  -2.6660308527e-01  -2.6773550649e-01  -2.9911320962e-01   2.8619079601e-01   3.6552763544e-01
