# time = 1
# Grid points = 474
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_uvel             4_vvel             5_wvel
  -3.0276700918e-01  -3.0326532986e-01   1.1583694562e+00   6.1366658301e-01   9.4416784340e-01
  -3.0175394347e-01  -3.0226868850e-01   1.2590954578e+00   5.2405396139e-01   1.0308497003e+00
  -3.0063442227e-01  -3.0123919844e-01   1.3562929614e+00   4.1876972279e-01   1.1149170074e+00
  -2.9924957418e-01  -3.0002964610e-01   1.4535224257e+00   2.8074064244e-01   1.1989944123e+00
  -2.9762874459e-01  -2.9846950226e-01   1.5334237339e+00   1.1061235154e-01   1.2671330097e+00
  -2.9596653513e-01  -2.9678798692e-01   1.5754389008e+00  -7.0207379568e-02   1.3006019174e+00
  -2.9431925592e-01  -2.9514508334e-01   1.5760933123e+00  -2.5098697913e-01   1.2960165586e+00
  -2.9263481929e-01  -2.9349342851e-01   1.5354519354e+00  -4.3184682303e-01   1.2533260992e+00
  -2.9096028306e-01  -2.9177621008e-01   1.4562565067e+00  -6.0169917491e-01   1.1756988900e+00
  -2.8950561612e-01  -2.9014435604e-01   1.3592552045e+00  -7.3606598888e-01   1.0834050000e+00
  -2.8831816958e-01  -2.8886687621e-01   1.2618319144e+00  -8.3404882805e-01   9.9262986895e-01
  -2.8727392513e-01  -2.8776946296e-01   1.1649253440e+00  -9.0914665997e-01   9.0392143671e-01
  -2.8631777320e-01  -2.8677838731e-01   1.0681411485e+00  -9.6793638065e-01   8.1681572375e-01
  -2.8542072672e-01  -2.8585715909e-01   9.7111573770e-01  -1.0137758177e+00   7.3099154921e-01
  -2.8456478414e-01  -2.8498429435e-01   8.7468128368e-01  -1.0482228466e+00   6.4722194622e-01
  -2.8373766660e-01  -2.8414527393e-01   7.7734836685e-01  -1.0729296064e+00   5.6430172571e-01
  -2.8293028627e-01  -2.8333005927e-01   6.8092783743e-01  -1.0881877878e+00   4.8387779440e-01
  -2.8213535886e-01  -2.8253051326e-01   5.8429913413e-01  -1.0947802510e+00   4.0511822595e-01
  -2.8134684219e-01  -2.8174020445e-01   4.8710220893e-01  -1.0928668793e+00   3.2791411393e-01
  -2.8055927734e-01  -2.8095347993e-01   3.9028064863e-01  -1.0825466921e+00   2.5320805474e-01
  -2.7976749308e-01  -2.8016507474e-01   2.9365139232e-01  -1.0638724271e+00   1.8105207320e-01
  -2.7896635593e-01  -2.7936991143e-01   1.9717417252e-01  -1.0367476166e+00   1.1165636300e-01
  -2.7815036372e-01  -2.7856280044e-01   9.9879785205e-02  -1.0005061821e+00   4.4674654902e-02
  -2.7731350057e-01  -2.7773792700e-01   3.6119232087e-03  -9.5547102244e-01  -1.8263441832e-02
  -2.7644868362e-01  -2.7688907414e-01  -9.3641245571e-02  -9.0012657627e-01  -7.8004802692e-02
  -2.7554728625e-01  -2.7600829310e-01  -1.9017178486e-01  -8.3463097433e-01  -1.3290132151e-01
  -2.7459832676e-01  -2.7508627940e-01  -2.8710062412e-01  -7.5726100757e-01  -1.8287372492e-01
  -2.7358696205e-01  -2.7411037412e-01  -3.8377908876e-01  -6.6711036205e-01  -2.2659864427e-01
  -2.7249196012e-01  -2.7306354997e-01  -4.8070838776e-01  -5.6174781668e-01  -2.6296057610e-01
  -2.7128060201e-01  -2.7192037026e-01  -5.7747745624e-01  -4.3871306321e-01  -2.8986283637e-01
  -2.6989669491e-01  -2.7064083377e-01  -6.7444151315e-01  -2.9293056459e-01  -3.0438325592e-01
  -2.6830039920e-01  -2.6915255605e-01  -7.6798671349e-01  -1.2318089988e-01  -3.0169531388e-01
  -2.6654938811e-01  -2.6744824236e-01  -8.4806253344e-01   5.7373249644e-02  -2.7888519882e-01
  -2.6465169851e-01  -2.6565053385e-01  -9.0911607716e-01   2.3865719035e-01  -2.3675901829e-01
  -2.6243681633e-01  -2.6365286317e-01  -9.4806147697e-01   4.2035671664e-01  -1.7553098198e-01
  -2.5932782059e-01  -2.6122076949e-01  -9.4813775097e-01   6.0516773277e-01  -9.2647446233e-02
  -2.5575576646e-01  -2.5743487170e-01  -8.8205829362e-01   7.1568218844e-01  -3.4793957985e-02
  -2.5295138427e-01  -2.5407666121e-01  -7.8340896906e-01   7.2963876439e-01  -3.4861058393e-02
  -2.5090935450e-01  -2.5182610733e-01  -6.8630655069e-01   7.0541779881e-01  -6.3739298087e-02
  -2.4919291705e-01  -2.4999260167e-01  -5.8953735292e-01   6.6803649953e-01  -1.0451024767e-01
  -2.4766936630e-01  -2.4839323244e-01  -4.9265482645e-01   6.2478119345e-01  -1.5077659232e-01
  -2.4627380434e-01  -2.4694550017e-01  -3.9601280637e-01   5.7893715217e-01  -1.9878655753e-01
  -2.4496736054e-01  -2.4560210851e-01  -2.9923920814e-01   5.3173647507e-01  -2.4649454325e-01
  -2.4372374447e-01  -2.4433261256e-01  -2.0253176085e-01   4.8383531739e-01  -2.9230046318e-01
  -2.4252317616e-01  -2.4311487638e-01  -1.0576289777e-01   4.3525740033e-01  -3.3517899625e-01
  -2.4134939526e-01  -2.4193147594e-01  -9.1429211432e-03   3.8588498800e-01  -3.7420422909e-01
  -2.4018771395e-01  -2.4076731457e-01   8.7703618685e-02   3.3505281997e-01  -4.0881210052e-01
  -2.3902345006e-01  -2.3960811333e-01   1.8452550306e-01   2.8216724751e-01  -4.3822476692e-01
  -2.3784026699e-01  -2.3843878679e-01   2.8121101680e-01   2.2627707819e-01  -4.6172226756e-01
  -2.3661779193e-01  -2.3724174718e-01   3.7800011862e-01   1.6577999418e-01  -4.7851727691e-01
  -2.3532715444e-01  -2.3599383667e-01   4.7486639157e-01   9.8439545579e-02  -4.8740777872e-01
  -2.3392097625e-01  -2.3466047220e-01   5.7176419039e-01   2.0510150886e-02  -4.8651184870e-01
  -2.3230237710e-01  -2.3318148029e-01   6.6909162861e-01  -7.6030235424e-02  -4.7211875228e-01
  -2.3024004176e-01  -2.3142327390e-01   7.6510332371e-01  -2.1041912224e-01  -4.3495591493e-01
  -2.2785738350e-01  -2.2905680961e-01   8.3120251562e-01  -3.8096171742e-01  -3.7190175267e-01
  -2.2553349285e-01  -2.2665795739e-01   8.4296816005e-01  -5.6123969008e-01  -2.9689063603e-01
  -2.2331473987e-01  -2.2440902832e-01   8.0278282488e-01  -7.4183466074e-01  -2.2082870212e-01
  -2.2124370670e-01  -2.2222045143e-01   7.2185196928e-01  -9.1149198520e-01  -1.5269003319e-01
  -2.1950479537e-01  -2.2026696198e-01   6.2445578769e-01  -1.0499639681e+00  -1.0126812116e-01
  -2.1808260843e-01  -2.1874262877e-01   5.2741721997e-01  -1.1567868843e+00  -6.5042390267e-02
  -2.1682004090e-01  -2.1742258809e-01   4.3042779483e-01  -1.2446394550e+00  -3.7930382293e-02
  -2.1564928057e-01  -2.1621749371e-01   3.3338045966e-01  -1.3184621574e+00  -1.7329399835e-02
  -2.1453249178e-01  -2.1508106743e-01   2.3679116843e-01  -1.3802964150e+00  -1.8624623714e-03
  -2.1344425990e-01  -2.1398391614e-01   1.3998384672e-01  -1.4317480698e+00   9.5277680303e-03
  -2.1236459646e-01  -2.1290460367e-01   4.3133144908e-02  -1.4730326204e+00   1.7459922111e-02
  -2.1127496064e-01  -2.1182458926e-01  -5.3860787369e-02  -1.5039113892e+00   2.2452604702e-02
  -2.1015548844e-01  -2.1072533203e-01  -1.5048382617e-01  -1.5233938369e+00   2.4949965928e-02
  -2.0898132454e-01  -2.0958564484e-01  -2.4738868357e-01  -1.5298942833e+00   2.5438520126e-02
  -2.0771613450e-01  -2.0837700424e-01  -3.4433792775e-01  -1.5201456698e+00   2.4482046513e-02
  -2.0629678488e-01  -2.0705526476e-01  -4.4136108789e-01  -1.4880109400e+00   2.2991618836e-02
  -2.0457907064e-01  -2.0553830501e-01  -5.3893037530e-01  -1.4188636397e+00   2.2960831944e-02
  -2.0241820197e-01  -2.0361983628e-01  -6.2665129520e-01  -1.2865443748e+00   2.9833921262e-02
  -2.0024000428e-01  -2.0121656766e-01  -6.7426412148e-01  -1.1078255239e+00   4.8408700632e-02
  -1.9841494424e-01  -1.9926344091e-01  -6.8088525923e-01  -9.2663263089e-01   7.5672109780e-02
  -1.9678855365e-01  -1.9756644756e-01  -6.6251244640e-01  -7.4548219244e-01   1.0959988434e-01
  -1.9527252444e-01  -1.9601065973e-01  -6.2669021489e-01  -5.6487969256e-01   1.4878657517e-01
  -1.9381556258e-01  -1.9453438915e-01  -5.7703949488e-01  -3.8369209834e-01   1.9240828590e-01
  -1.9238037882e-01  -1.9309673602e-01  -5.1605667178e-01  -2.0328051408e-01   2.3909201388e-01
  -1.9093320747e-01  -1.9166402162e-01  -4.4413892339e-01  -2.1939438106e-02   2.8811648308e-01
  -1.8943620797e-01  -1.9020239332e-01  -3.6189878970e-01   1.5873244820e-01   3.3756407165e-01
  -1.8787201887e-01  -1.8867002262e-01  -2.6978571254e-01   3.3602636080e-01   3.8454648334e-01
  -1.8629061428e-01  -1.8707401512e-01  -1.7320119472e-01   4.9779253969e-01   4.2303461304e-01
  -1.8472065523e-01  -1.8550721344e-01  -7.6610280796e-02   6.3571178361e-01   4.4805418016e-01
  -1.8312548565e-01  -1.8393409703e-01   2.0267313068e-02   7.4862886953e-01   4.5608162228e-01
  -1.8146490109e-01  -1.8231687427e-01   1.1682320546e-01   8.3214842713e-01   4.4211758660e-01
  -1.7968747090e-01  -1.8061292792e-01   2.1357508269e-01   8.8014850325e-01   3.9888138262e-01
  -1.7771010088e-01  -1.7876201388e-01   3.1038216484e-01   8.8067947200e-01   3.1469426888e-01
  -1.7562347674e-01  -1.7665818787e-01   3.9789654209e-01   8.2250440642e-01   1.8661506629e-01
  -1.7371941636e-01  -1.7458876560e-01   4.6240963615e-01   7.2093668985e-01   3.9572800192e-02
  -1.7205593227e-01  -1.7285006713e-01   5.0523717185e-01   5.9855755771e-01  -1.0746565864e-01
  -1.7049560828e-01  -1.7126179740e-01   5.3259115226e-01   4.6179963226e-01  -2.5403193305e-01
  -1.6895429798e-01  -1.6972941916e-01   5.4651415852e-01   3.1190656651e-01  -4.0068114949e-01
  -1.6735017161e-01  -1.6817917680e-01   5.4604798851e-01   1.4754695728e-01  -5.4768118000e-01
