# time = 1
# Grid points = 474
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_uvel             4_vvel             5_wvel
  -4.9917840810e-01  -5.0000000000e-01   1.1583694562e+00   6.1366658301e-01   9.4416784340e-01
  -4.9750814511e-01  -4.9835681619e-01   1.2590954578e+00   5.2405396139e-01   1.0308497003e+00
  -4.9566236670e-01  -4.9665947403e-01   1.3562929614e+00   4.1876972279e-01   1.1149170074e+00
  -4.9337913820e-01  -4.9466525936e-01   1.4535224257e+00   2.8074064244e-01   1.1989944123e+00
  -4.9070684198e-01  -4.9209301703e-01   1.5334237339e+00   1.1061235154e-01   1.2671330097e+00
  -4.8796632188e-01  -4.8932066692e-01   1.5754389008e+00  -7.0207379568e-02   1.3006019174e+00
  -4.8525041762e-01  -4.8661197685e-01   1.5760933123e+00  -2.5098697913e-01   1.2960165586e+00
  -4.8247325112e-01  -4.8388885839e-01   1.5354519354e+00  -4.3184682303e-01   1.2533260992e+00
  -4.7971240761e-01  -4.8105764385e-01   1.4562565067e+00  -6.0169917491e-01   1.1756988900e+00
  -4.7731406729e-01  -4.7836717138e-01   1.3592552045e+00  -7.3606598888e-01   1.0834050000e+00
  -4.7535629892e-01  -4.7626096320e-01   1.2618319144e+00  -8.3404882805e-01   9.9262986895e-01
  -4.7363463088e-01  -4.7445163464e-01   1.1649253440e+00  -9.0914665997e-01   9.0392143671e-01
  -4.7205820286e-01  -4.7281762713e-01   1.0681411485e+00  -9.6793638065e-01   8.1681572375e-01
  -4.7057922324e-01  -4.7129877858e-01   9.7111573770e-01  -1.0137758177e+00   7.3099154921e-01
  -4.6916801250e-01  -4.6985966791e-01   8.7468128368e-01  -1.0482228466e+00   6.4722194622e-01
  -4.6780432622e-01  -4.6847635709e-01   7.7734836685e-01  -1.0729296064e+00   5.6430172571e-01
  -4.6647318109e-01  -4.6713229535e-01   6.8092783743e-01  -1.0881877878e+00   4.8387779440e-01
  -4.6516256736e-01  -4.6581406684e-01   5.8429913413e-01  -1.0947802510e+00   4.0511822595e-01
  -4.6386252316e-01  -4.6451106789e-01   4.8710220893e-01  -1.0928668793e+00   3.2791411393e-01
  -4.6256404824e-01  -4.6321397844e-01   3.9028064863e-01  -1.0825466921e+00   2.5320805474e-01
  -4.6125861670e-01  -4.6191411803e-01   2.9365139232e-01  -1.0638724271e+00   1.8105207320e-01
  -4.5993776484e-01  -4.6060311536e-01   1.9717417252e-01  -1.0367476166e+00   1.1165636300e-01
  -4.5859242112e-01  -4.5927241432e-01   9.9879785205e-02  -1.0005061821e+00   4.4674654902e-02
  -4.5721266704e-01  -4.5791242792e-01   3.6119232087e-03  -9.5547102244e-01  -1.8263441832e-02
  -4.5578682495e-01  -4.5651290616e-01  -9.3641245571e-02  -9.0012657627e-01  -7.8004802692e-02
  -4.5430067193e-01  -4.5506074373e-01  -1.9017178486e-01  -8.3463097433e-01  -1.3290132151e-01
  -4.5273610223e-01  -4.5354060013e-01  -2.8710062412e-01  -7.5726100757e-01  -1.8287372492e-01
  -4.5106864371e-01  -4.5193160433e-01  -3.8377908876e-01  -6.6711036205e-01  -2.2659864427e-01
  -4.4926329074e-01  -4.5020568309e-01  -4.8070838776e-01  -5.6174781668e-01  -2.6296057610e-01
  -4.4726609887e-01  -4.4832089838e-01  -5.7747745624e-01  -4.3871306321e-01  -2.8986283637e-01
  -4.4498442178e-01  -4.4621129935e-01  -6.7444151315e-01  -2.9293056459e-01  -3.0438325592e-01
  -4.4235257510e-01  -4.4375754422e-01  -7.6798671349e-01  -1.2318089988e-01  -3.0169531388e-01
  -4.3946564586e-01  -4.4094760599e-01  -8.4806253344e-01   5.7373249644e-02  -2.7888519882e-01
  -4.3633688466e-01  -4.3798368573e-01  -9.0911607716e-01   2.3865719035e-01  -2.3675901829e-01
