# time = 1.3
# Grid points = 474
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_uvel             4_vvel             5_wvel
  -4.9917840810e-01  -5.0000000000e-01   1.1269926809e+00   6.6014563274e-01   9.7941011788e-01
  -4.9750814511e-01  -4.9835681619e-01   1.2249900604e+00   5.6374603883e-01   1.0693276160e+00
  -4.9566236670e-01  -4.9665947403e-01   1.3195544940e+00   4.5048788824e-01   1.1565329851e+00
  -4.9337913820e-01  -4.9466525936e-01   1.4141499656e+00   3.0200486953e-01   1.2437488564e+00
  -4.9070684198e-01  -4.9209301703e-01   1.4918866114e+00   1.1899149598e-01   1.3144309992e+00
  -4.8796632188e-01  -4.8932066692e-01   1.5327633598e+00  -7.5523101857e-02   1.3491493459e+00
  -4.8525041762e-01  -4.8661197685e-01   1.5333997360e+00  -2.6999456841e-01   1.3443929744e+00
  -4.8247325112e-01  -4.8388885839e-01   1.4938589474e+00  -4.6455239644e-01   1.3001091528e+00
  -4.7971240761e-01  -4.8105764385e-01   1.4168084806e+00  -6.4726908533e-01   1.2195844887e+00
  -4.7731406729e-01  -4.7836717138e-01   1.3224345268e+00  -7.9181265380e-01   1.1238456531e+00
  -4.7535629892e-01  -4.7626096320e-01   1.2276500768e+00  -8.9721660268e-01   1.0296822391e+00
  -4.7363463088e-01  -4.7445163464e-01   1.1333683875e+00  -9.7800228217e-01   9.3766265058e-01
  -4.7205820286e-01  -4.7281762713e-01   1.0392057847e+00  -1.0412447090e+00   8.4730559436e-01
  -4.7057922324e-01  -4.7129877858e-01   9.4480852125e-01  -1.0905560261e+00   7.5827790373e-01
  -4.6916801250e-01  -4.6985966791e-01   8.5098622468e-01  -1.1276120984e+00   6.7138146814e-01
  -4.6780432622e-01  -4.6847635709e-01   7.5628981778e-01  -1.1541901960e+00   5.8536611406e-01
  -4.6647318109e-01  -4.6713229535e-01   6.6248109781e-01  -1.1706041001e+00   5.0194022249e-01
  -4.6516256736e-01  -4.6581406684e-01   5.6846985574e-01  -1.1776959641e+00   4.2024081473e-01
  -4.6386252316e-01  -4.6451106789e-01   4.7390579598e-01  -1.1756377813e+00   3.4015491963e-01
  -4.6256404824e-01  -4.6321397844e-01   3.7970694512e-01  -1.1645360697e+00   2.6266031807e-01
  -4.6125861670e-01  -4.6191411803e-01   2.8569520064e-01  -1.1444475614e+00   1.8781097717e-01
  -4.5993776484e-01  -4.6060311536e-01   1.9183138569e-01  -1.1152684831e+00   1.1582493675e-01
  -4.5859242112e-01  -4.5927241432e-01   9.7172550567e-02  -1.0762823099e+00   4.6343002582e-02
  -4.5721266704e-01  -4.5791242792e-01   3.5124455489e-03  -1.0278363947e+00  -1.8944387458e-02
  -4.5578682495e-01  -4.5651290616e-01  -9.1106263447e-02  -9.6830039337e-01  -8.0915720083e-02
  -4.5430067193e-01  -4.5506074373e-01  -1.8502190523e-01  -8.9784441161e-01  -1.3786137002e-01
  -4.5273610223e-01  -4.5354060013e-01  -2.7932504384e-01  -8.1461473010e-01  -1.8969910478e-01
  -4.5106864371e-01  -4.5193160433e-01  -3.7338457539e-01  -7.1763639254e-01  -2.3505615811e-01
  -4.4926329074e-01  -4.5020568309e-01  -4.6768812985e-01  -6.0429404400e-01  -2.7277538801e-01
  -4.4726609887e-01  -4.4832089838e-01  -5.6183577517e-01  -4.7194103864e-01  -3.0068184722e-01
  -4.4498442178e-01  -4.4621129935e-01  -6.5617310342e-01  -3.1511743181e-01  -3.1574429055e-01
  -4.4235257510e-01  -4.4375754422e-01  -7.4718416149e-01  -1.3251144398e-01  -3.1295603653e-01
  -4.3946564586e-01  -4.4094760599e-01  -8.2509068977e-01   6.1717344400e-02  -2.8929450752e-01
  -4.3633688466e-01  -4.3798368573e-01  -8.8449021973e-01   2.5673121359e-01  -2.4559590029e-01
  -4.3268516130e-01  -4.3469008358e-01  -9.2238047055e-01   4.5219216623e-01  -1.8208242428e-01
  -4.2755929390e-01  -4.3068023901e-01  -9.2245446199e-01   6.5100031570e-01  -9.6105135883e-02
  -4.2166997226e-01  -4.2443834879e-01  -8.5816477365e-01   7.6988497305e-01  -3.6092247192e-02
  -4.1704632770e-01  -4.1890159573e-01  -7.6218752948e-01   7.8489876222e-01  -3.6161988762e-02
  -4.1367958978e-01  -4.1519105967e-01  -6.6771532044e-01   7.5884354358e-01  -6.6118308663e-02
  -4.1084966285e-01  -4.1216811989e-01  -5.7356731388e-01   7.1863126425e-01  -1.0841126254e-01
  -4.0833775233e-01  -4.0953120581e-01  -4.7930905158e-01   6.7210009785e-01  -1.5640474087e-01
  -4.0603685963e-01  -4.0714429884e-01  -3.8528478339e-01   6.2278413185e-01  -2.0620692381e-01
  -4.0388289794e-01  -4.0492942043e-01  -2.9113250385e-01   5.7200878124e-01  -2.5569585388e-01
  -4.0183252169e-01  -4.0283637546e-01  -1.9704458706e-01   5.2047989538e-01  -3.0321171646e-01
  -3.9985311918e-01  -4.0082866791e-01  -1.0289692296e-01   4.6822299143e-01  -3.4769091708e-01
  -3.9791788163e-01  -3.9887757044e-01  -8.8941187201e-03   4.1511141530e-01  -3.8817297916e-01
  -3.9600259296e-01  -3.9695819283e-01   8.5329103652e-02   3.6042952127e-01  -4.2407278595e-01
  -3.9408304632e-01  -3.9504699309e-01   1.7952832822e-01   3.0353869783e-01  -4.5458345739e-01
  -3.9213230721e-01  -3.9311909955e-01   2.7359486324e-01   2.4341571037e-01  -4.7895815681e-01
  -3.9011678658e-01  -3.9114551487e-01   3.6776216390e-01   1.7833688461e-01  -4.9638016806e-01
  -3.8798888510e-01  -3.8908805828e-01   4.6200452336e-01   1.0589638551e-01  -5.0560260367e-01
  -3.8567048920e-01  -3.8688971191e-01   5.5627752384e-01   2.2064947326e-02  -5.0467328696e-01
  -3.8300187036e-01  -3.8445126649e-01   6.5096847650e-01  -8.1787050975e-02  -4.8974296139e-01
  -3.7960165421e-01  -3.8155247422e-01   7.4437923050e-01  -2.2635413813e-01  -4.5119290390e-01
  -3.7567331486e-01  -3.7765083420e-01   8.0868762244e-01  -4.0981321418e-01  -3.8578497210e-01
  -3.7184186692e-01  -3.7369579552e-01   8.2013416229e-01  -6.0374510925e-01  -3.0797367536e-01
